rebal,tc,impact,scale,mode,random_seed,score,penalty,meets_gates,total_pnl,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,num_trades_mean,avg_spread_cost_mean,avg_impact_cost_mean
2,0.0005,0.0,0.8,bs,7504466,-999.0,0.0,False,0.0,0.0,,,,,,0.0,0.0,0.0
2,0.0005,0.0,1.0,bs,7504467,-67.82558776584283,67.51179839882977,False,0.004248034209012985,0.02141009271144867,0.03637450785188118,-0.5314135273700725,-0.9177918179584543,0.018842356279492378,1.1362746953964233,197.97332763671875,0.0028092339634895325,0.0
2,0.0005,1e-06,0.8,bs,7504468,-3.615540155281565,5.026152377480815,False,0.011723390780389309,0.05908589065074921,0.03667525576388038,0.5002253372318475,0.8509828007958415,0.013054702430963516,4.5260233879089355,198.413330078125,0.0022994268219918013,8.399020589422435e-05
2,0.0005,1e-06,1.0,bs,7504469,-999.0,0.0,False,0.0,0.0,,,,,,0.0,0.0,0.0
2,0.001,0.0,0.8,bs,7504470,-999.0,0.0,False,0.0,0.0,,,,,,0.0,0.0,0.0
2,0.001,0.0,1.0,bs,7504471,-999.0,0.0,False,0.0,0.0,,,,,,0.0,0.0,0.0
2,0.001,1e-06,0.8,bs,7504472,-24.77947956882723,25.1702948950008,False,0.007851144298911095,0.03956976905465126,0.034136490098133083,-0.03428090978455842,-0.05303010197670344,0.018670938909053802,2.119323968887329,198.413330078125,0.0045988536439836025,8.399020589422435e-05
2,0.001,1e-06,1.0,bs,7504473,-999.0,0.0,False,0.0,0.0,,,,,,0.0,0.0,0.0
5,0.0005,0.0,0.8,bs,7504474,-999.0,0.0,False,0.0,0.0,,,,,,0.0,0.0,0.0
5,0.0005,0.0,1.0,bs,7504475,2.4621105614473597,0.0008694062626034087,False,0.016335036605596542,0.08232858777046204,0.03796251505640673,1.095517195314933,1.816147290306621,0.012015463784337044,6.851885795593262,79.95999908447266,0.004689454101026058,0.0
5,0.0005,1e-06,0.8,bs,7504476,-32.14449411994085,32.37488246475022,False,0.006884981412440538,0.03470030426979065,0.036609797604748584,-0.16497479802491982,-0.27022333239326396,0.01761692762374878,1.9697136878967285,80.4000015258789,0.0038708543870598078,0.0002075551456073299
5,0.0005,1e-06,1.0,bs,7504477,-999.0,0.0,False,0.0,0.0,,,,,,0.0,0.0,0.0
5,0.001,0.0,0.8,bs,7504478,-999.0,0.0,False,0.0,0.0,,,,,,0.0,0.0,0.0
5,0.001,0.0,1.0,bs,7504479,-999.0,0.0,False,0.0,0.0,,,,,,0.0,0.0,0.0
5,0.001,1e-06,0.8,bs,7504480,-999.0,0.0,False,0.0,0.0,,,,,,0.0,0.0,0.0
5,0.001,1e-06,1.0,bs,7504481,-999.0,0.0,False,0.0,0.0,,,,,,0.0,0.0,0.0
10,0.0005,0.0,0.8,bs,7504482,-999.0,0.0,False,0.0,0.0,,,,,,0.0,0.0,0.0
10,0.0005,0.0,1.0,bs,7504483,-29.440329917076483,29.736981120754077,False,0.007186995353549719,0.03622245416045189,0.036984808616313786,-0.12214590633239432,-0.1903574769127014,0.017463698983192444,2.0741569995880127,40.526668548583984,0.006988048553466797,0.0
10,0.0005,1e-06,0.8,bs,7504484,-999.0,0.0,False,0.0,0.0,,,,,,0.0,0.0,0.0
10,0.0005,1e-06,1.0,bs,7504485,-999.0,0.0,False,0.0,0.0,,,,,,0.0,0.0,0.0
10,0.001,0.0,0.8,bs,7504486,-10.952911415775915,11.746126785497182,False,0.009943410754203796,0.050114791840314865,0.0349358657856029,0.2683429291474176,0.46788691483817246,0.019324054941534996,2.5933890342712402,40.96666717529297,0.011605334468185902,0.0
10,0.001,0.0,1.0,bs,7504487,-999.0,0.0,False,0.0,0.0,,,,,,0.0,0.0,0.0
10,0.001,1e-06,0.8,bs,7504488,-999.0,0.0,False,0.0,0.0,,,,,,0.0,0.0,0.0
10,0.001,1e-06,1.0,bs,7504489,-999.0,0.0,False,0.0,0.0,,,,,,0.0,0.0,0.0
